Case#,name,fe1,fe2,fe3,fe4,fe5,fe6,fe7,fe8,fe9,fe10,fe11,fe12,fe13,fe14,fe15,fe16,fe17,fe18,fe19,fe20,fe21,fe22,fe23,fe24,fe25,fe26,fe27,fe28,fe29,fe30,fe31,fe32,fe33,fe34,fe35,fe36,fe37,fe38,fe39,fe40,fe41,fe42,fe43,fe44,fe45,fe46,fe47,fe48,fe49,fe50,fe51,fe52,fe53,fe54,fe55,fe56,fe57,fe58,fe59,fe60,fe61,fe62,fe63,fe64,fe65,fe66,fe67,fe68,fe69,fe70,fe71,fe72,fe73,fe74,fe75,fe76,fe77,fe78,fe79,fe80,fe81,fe82,fe83,fe84,fe85,fe86,fe87,fe88,fe89,fe90,fe91,fe92,fe93,fe94,fe95,fe96,fe97,fe98,fe99,fe100,fe101,fe102,fe103,fe104,fe105,fe106,fe107,fe108,fe109,fe110,fe111,fe112,fe113,fe114,fe115,fe116,fe117,fe118,fe119,fe120,fe121,fe122,fe123,fe124,fe125,fe126,fe127,fe128
1,Amandla Sternburg,-0.06233619526028633,0.05256366357207298,0.10008658468723297,-0.11949153989553452,-0.13972681760787964,-0.1016748771071434,-0.07795042544603348,-0.11568722873926163,0.1910221129655838,-0.13288487493991852,0.20162364840507507,-0.06761768460273743,-0.13493956625461578,0.007290145382285118,-0.07235953956842422,0.19917407631874084,-0.1534387618303299,-0.17006464302539825,-0.043098971247673035,-0.0030067414045333862,0.0290584284812212,0.04382835328578949,0.051338713616132736,0.11495061218738556,-0.19515305757522583,-0.38474902510643005,-0.08780716359615326,-0.02957773581147194,-0.08895629644393921,-0.00790228508412838,0.016682984307408333,0.25719329714775085,-0.20830389857292175,0.014620776288211346,0.03571484237909317,0.09775969386100769,0.055102214217185974,0.012621448375284672,0.10633651167154312,0.056146055459976196,-0.31491708755493164,-0.0034617106430232525,0.13892608880996704,0.22174060344696045,0.13500657677650452,0.018404711037874222,0.07693099975585938,-0.10753379762172699,0.02723720856010914,-0.1864030361175537,0.07664301991462708,0.13593177497386932,0.10830952972173691,0.026478592306375504,0.07459811866283417,-0.15839502215385437,0.024473529309034348,0.0997849851846695,-0.0811011791229248,0.017990130931138992,0.04199257865548134,0.01442752219736576,-0.008588787168264389,-0.1030985489487648,0.2266887128353119,0.1275235116481781,-0.10728970915079117,-0.0675218477845192,0.1409013420343399,-0.11439310014247894,-0.13739193975925446,0.026808589696884155,-0.17273196578025818,-0.16108323633670807,-0.360510915517807,-0.07313209772109985,0.3748326599597931,0.10872438549995422,-0.21110880374908447,0.09363807737827301,-0.015225608833134174,-0.001673322170972824,-0.026877744123339653,0.1861146092414856,-0.12624722719192505,0.12199166417121887,-0.012812985107302666,0.06735438108444214,0.19965633749961853,0.015852417796850204,0.005667159333825111,0.24897579848766327,0.010319522581994534,0.052207447588443756,-0.00962204858660698,-0.010999375954270363,-0.0538954958319664,-0.012632636353373528,-0.16544921696186066,-0.03761592507362366,-0.04254251718521118,0.03300374001264572,-0.06605344265699387,0.14468196034431458,-0.27708131074905396,0.14705193042755127,0.014763010665774345,-0.039887528866529465,-0.004799417685717344,0.17850889265537262,0.006907964125275612,-0.11917447298765182,0.08062192052602768,-0.16705754399299622,0.09128238260746002,0.18410354852676392,0.047944799065589905,0.14631175994873047,0.0777410939335823,0.08712010830640793,0.007946721278131008,-0.013164302334189415,-0.11490421742200851,-0.004787452053278685,0.12394069880247116,-0.1336500346660614,0.03475768119096756,0.07589290291070938
2,Amandla Sternburg,-0.06233619526028633,0.05256366357207298,0.10008658468723297,-0.11949153989553452,-0.13972681760787964,-0.1016748771071434,-0.07795042544603348,-0.11568722873926163,0.1910221129655838,-0.13288487493991852,0.20162364840507507,-0.06761768460273743,-0.13493956625461578,0.007290145382285118,-0.07235953956842422,0.19917407631874084,-0.1534387618303299,-0.17006464302539825,-0.043098971247673035,-0.0030067414045333862,0.0290584284812212,0.04382835328578949,0.051338713616132736,0.11495061218738556,-0.19515305757522583,-0.38474902510643005,-0.08780716359615326,-0.02957773581147194,-0.08895629644393921,-0.00790228508412838,0.016682984307408333,0.25719329714775085,-0.20830389857292175,0.014620776288211346,0.03571484237909317,0.09775969386100769,0.055102214217185974,0.012621448375284672,0.10633651167154312,0.056146055459976196,-0.31491708755493164,-0.0034617106430232525,0.13892608880996704,0.22174060344696045,0.13500657677650452,0.018404711037874222,0.07693099975585938,-0.10753379762172699,0.02723720856010914,-0.1864030361175537,0.07664301991462708,0.13593177497386932,0.10830952972173691,0.026478592306375504,0.07459811866283417,-0.15839502215385437,0.024473529309034348,0.0997849851846695,-0.0811011791229248,0.017990130931138992,0.04199257865548134,0.01442752219736576,-0.008588787168264389,-0.1030985489487648,0.2266887128353119,0.1275235116481781,-0.10728970915079117,-0.0675218477845192,0.1409013420343399,-0.11439310014247894,-0.13739193975925446,0.026808589696884155,-0.17273196578025818,-0.16108323633670807,-0.360510915517807,-0.07313209772109985,0.3748326599597931,0.10872438549995422,-0.21110880374908447,0.09363807737827301,-0.015225608833134174,-0.001673322170972824,-0.026877744123339653,0.1861146092414856,-0.12624722719192505,0.12199166417121887,-0.012812985107302666,0.06735438108444214,0.19965633749961853,0.015852417796850204,0.005667159333825111,0.24897579848766327,0.010319522581994534,0.052207447588443756,-0.00962204858660698,-0.010999375954270363,-0.0538954958319664,-0.012632636353373528,-0.16544921696186066,-0.03761592507362366,-0.04254251718521118,0.03300374001264572,-0.06605344265699387,0.14468196034431458,-0.27708131074905396,0.14705193042755127,0.014763010665774345,-0.039887528866529465,-0.004799417685717344,0.17850889265537262,0.006907964125275612,-0.11917447298765182,0.08062192052602768,-0.16705754399299622,0.09128238260746002,0.18410354852676392,0.047944799065589905,0.14631175994873047,0.0777410939335823,0.08712010830640793,0.007946721278131008,-0.013164302334189415,-0.11490421742200851,-0.004787452053278685,0.12394069880247116,-0.1336500346660614,0.03475768119096756,0.07589290291070938
3,Amandla Sternburg,-0.0632232278585434,-0.03847602382302284,0.10176640748977661,-0.07911816984415054,-0.16418485343456268,-0.09228886663913727,-0.06558183580636978,-0.06786039471626282,0.13111384212970734,-0.08438161015510559,0.18392415344715118,-0.052297547459602356,-0.1567050665616989,-0.036371808499097824,-0.03606807440519333,0.20766060054302216,-0.13662125170230865,-0.15097776055335999,0.0023903697729110718,-0.0011933408677577972,0.005637436173856258,0.01175172533839941,0.002394996816292405,0.11926141381263733,-0.15352563560009003,-0.317435622215271,-0.06643833220005035,-0.06010112911462784,-0.10124808549880981,-0.004534114617854357,-0.0669182613492012,0.20223389565944672,-0.20864076912403107,-0.038205087184906006,0.04369710385799408,0.13235515356063843,0.041825421154499054,-0.04372541606426239,0.08926870673894882,0.09780451655387878,-0.26800161600112915,-0.024619292467832565,0.06551630049943924,0.18608219921588898,0.14223931729793549,0.04922981187701225,0.061608780175447464,-0.10394369065761566,0.05705728381872177,-0.2260262817144394,0.05922456085681915,0.13076069951057434,0.10152553766965866,-0.012193595990538597,-0.005472538061439991,-0.19689534604549408,0.01768042892217636,0.12596449255943298,-0.12133415788412094,-0.006031223572790623,-0.007177739404141903,0.010952180251479149,0.013918738812208176,-0.10943271964788437,0.29117193818092346,0.16571968793869019,-0.09367507696151733,-0.08593980222940445,0.16437393426895142,-0.09150248765945435,-0.15606126189231873,0.0039388276636600494,-0.18221263587474823,-0.15350103378295898,-0.3510103225708008,-0.02565956860780716,0.35824981331825256,0.07603562623262405,-0.23148000240325928,0.05600208789110184,-0.1029077023267746,0.02207288332283497,0.007775265257805586,0.15031547844409943,-0.05727118253707886,0.0794639140367508,-0.04788701981306076,-0.03543633967638016,0.21823307871818542,-0.028426190838217735,0.015523366630077362,0.1899515688419342,0.002459995448589325,0.05825730785727501,0.014926447533071041,-0.042859356850385666,-0.04761987924575806,0.01636631041765213,-0.16027569770812988,-0.09458434581756592,-0.024115437641739845,0.012584829702973366,-0.013932859525084496,0.1684207320213318,-0.2777504622936249,0.07508625090122223,0.0009568671230226755,-0.06783252209424973,0.013977918773889542,0.07884061336517334,-0.040721941739320755,-0.11798293888568878,0.10537900030612946,-0.17558129131793976,0.13976837694644928,0.18504150211811066,0.06486311554908752,0.14528906345367432,0.09493404626846313,0.09271851181983948,-0.03120504319667816,-0.032640933990478516,-0.1352093517780304,0.025838032364845276,0.15092682838439941,-0.0892953872680664,0.03554336354136467,0.0648321658372879
4,Amandla Sternburg,-0.09861007332801819,0.05620943754911423,0.1360030323266983,-0.11863339692354202,-0.17205031216144562,-0.0559438019990921,-0.08401593565940857,-0.07294361293315887,0.1355830281972885,-0.07378958910703659,0.25642579793930054,-0.07983075827360153,-0.1840522736310959,-0.07866445928812027,-0.11293281614780426,0.2500048279762268,-0.23641620576381683,-0.14300747215747833,0.07392065972089767,-0.0002998197451233864,0.06961056590080261,-0.001303389435634017,0.00848342850804329,0.08802218735218048,-0.1720886528491974,-0.39473217725753784,-0.06798949092626572,-0.014136334881186485,-0.07567635178565979,-0.03884695842862129,-0.03971068188548088,0.21879732608795166,-0.2240835577249527,-0.014025535434484482,-0.012501560151576996,0.128313347697258,0.04047999531030655,-0.05418935418128967,0.1193346306681633,0.10219788551330566,-0.28187400102615356,-0.002611663658171892,0.10044259577989578,0.25232580304145813,0.1685277670621872,0.030947817489504814,0.04463811218738556,-0.036558281630277634,0.0836109071969986,-0.24170102179050446,0.026066213846206665,0.18086406588554382,0.1065966859459877,-0.02062378264963627,-0.040296632796525955,-0.10586991906166077,-0.021827273070812225,0.14307239651679993,-0.1196024939417839,-0.02177286148071289,0.03310369700193405,-0.05658890679478645,0.027624569833278656,-0.14838598668575287,0.24037793278694153,0.1497427523136139,-0.1022651195526123,-0.085640549659729,0.15435540676116943,-0.08972970396280289,-0.1707819551229477,-0.011890330351889133,-0.16710373759269714,-0.12508386373519897,-0.38474124670028687,-0.03509411960840225,0.3490099310874939,0.07658588141202927,-0.2014603167772293,0.0399763360619545,-0.08841131627559662,0.0037744990549981594,-0.0019294826779514551,0.15962611138820648,-0.06062314659357071,0.0958937555551529,-0.0952630564570427,-0.04969271272420883,0.23969894647598267,-0.01904509961605072,0.0115443030372262,0.24665045738220215,0.020581211894750595,0.060907959938049316,0.015286106616258621,-0.009800152853131294,-0.07216860353946686,-0.007162060588598251,-0.16208672523498535,-0.0867563784122467,-0.061304643750190735,-0.04555649682879448,-0.055405981838703156,0.17236368358135223,-0.28881001472473145,0.11206881701946259,0.0069047510623931885,-0.018723679706454277,0.01180008240044117,0.07865400612354279,-0.02731683850288391,-0.11957652121782303,0.10333716124296188,-0.15916649997234344,0.09056061506271362,0.2106958031654358,0.061325617134571075,0.14705269038677216,0.14301007986068726,0.09367134422063828,-0.07181492447853088,-0.059863828122615814,-0.09476091712713242,-0.03773881122469902,0.12168312817811966,-0.1009717732667923,0.06514526903629303,0.053635373711586
5,Amandla Sternburg,-0.054156191647052765,0.04466548189520836,0.13483284413814545,-0.10819902271032333,-0.16003085672855377,-0.04325462505221367,-0.09980296343564987,-0.05070469528436661,0.16889673471450806,-0.14732882380485535,0.22927385568618774,-0.08682788908481598,-0.13427717983722687,-0.014250335283577442,-0.07133230566978455,0.2270788848400116,-0.19061808288097382,-0.18796385824680328,-0.03222914785146713,-0.07940518856048584,0.011362931691110134,0.09743499010801315,0.03823457285761833,0.08857613056898117,-0.1654929220676422,-0.3647550046443939,-0.06518261134624481,-0.053984031081199646,-0.03441920876502991,-0.051327917724847794,-0.010850836522877216,0.233613520860672,-0.26289743185043335,0.006557437591254711,0.03164142370223999,0.14205682277679443,0.03958018124103546,-0.013044092804193497,0.10557935386896133,0.051709115505218506,-0.2484358251094818,0.03159348666667938,0.12971612811088562,0.24411390721797943,0.16507303714752197,0.02124350145459175,0.011115770787000656,-0.08621224761009216,0.02964942902326584,-0.1800462156534195,0.051467109471559525,0.19260680675506592,0.11075811833143234,0.015469350852072239,0.009123707190155983,-0.10474233329296112,0.0030745984986424446,0.1457836925983429,-0.1065942645072937,0.033869367092847824,0.05475836247205734,0.0063964929431676865,-0.0023814914748072624,-0.10009532421827316,0.2926669120788574,0.11265505850315094,-0.11819333583116531,-0.11822350323200226,0.16875769197940826,-0.09978111833333969,-0.15548795461654663,0.045722417533397675,-0.19912512600421906,-0.12221657484769821,-0.3349083364009857,-0.027989642694592476,0.39491593837738037,0.018570855259895325,-0.2037070244550705,0.10299321264028549,-0.03939605504274368,-0.015214549377560616,-0.028199004009366035,0.16415369510650635,-0.12206825613975525,0.06336755305528641,-0.03791188448667526,0.06268966197967529,0.2561455965042114,0.008584256283938885,-0.01249465998262167,0.21500074863433838,-0.0010069683194160461,0.01752961240708828,0.023269236087799072,-0.02478490211069584,-0.026788800954818726,-0.0435955636203289,-0.2247714251279831,-0.06837999820709229,-0.08425211161375046,-0.026191268116235733,-0.12759044766426086,0.15238317847251892,-0.23215223848819733,0.09894892573356628,0.013175847940146923,-0.0722280964255333,-0.019712619483470917,0.14131802320480347,-0.07530269771814346,-0.12470060586929321,0.14702846109867096,-0.1807129979133606,0.13219811022281647,0.18078534305095673,0.10028582066297531,0.13201837241649628,0.12886352837085724,0.12459985166788101,-0.008052349090576172,-0.02540387399494648,-0.1295452117919922,-0.033177122473716736,0.14040304720401764,-0.11261219531297684,0.06242723390460014,0.07169925421476364
6,Amandla Sternburg,-0.14470481872558594,0.07348375767469406,0.12723563611507416,-0.12128182500600815,-0.10968487709760666,-0.09226022660732269,-0.07141701132059097,-0.12038003653287888,0.14067015051841736,-0.09462904185056686,0.21273083984851837,-0.04973893240094185,-0.1435442417860031,-0.0683823749423027,-0.03465970978140831,0.20273533463478088,-0.1672421097755432,-0.19243790209293365,-0.024259641766548157,-0.05619074031710625,0.024333307519555092,0.008769601583480835,-0.011782844550907612,0.1113201230764389,-0.20291608572006226,-0.3084733188152313,-0.09667021036148071,-0.0740506500005722,-0.09185433387756348,-0.033322252333164215,0.01636558026075363,0.2070649266242981,-0.21653969585895538,-0.003802405670285225,-0.009866838343441486,0.11887498944997787,0.07304389774799347,-0.024659592658281326,0.06553719937801361,0.06744999438524246,-0.2570001184940338,-0.027782095596194267,0.10426991432905197,0.23038209974765778,0.1680106222629547,-0.021976366639137268,0.040346659719944,-0.04694320261478424,0.04193452373147011,-0.17942850291728973,0.0026634521782398224,0.12436044216156006,0.11365477740764618,0.0252884142100811,0.02989868074655533,-0.1480759084224701,0.01729554682970047,0.08981593698263168,-0.09934345632791519,0.00919350702315569,-0.007780520711094141,-0.051884714514017105,-0.03412122279405594,-0.10253241658210754,0.2595803737640381,0.15993641316890717,-0.1226770430803299,-0.06981409341096878,0.1701112687587738,-0.07003885507583618,-0.1432192325592041,0.05462228134274483,-0.18715251982212067,-0.12360591441392899,-0.34603893756866455,-0.033933356404304504,0.35512247681617737,0.052757930010557175,-0.27050673961639404,0.030597606673836708,-0.07704177498817444,0.01720239594578743,-0.011238410137593746,0.16683480143547058,-0.08635011315345764,0.09772178530693054,-0.05650705471634865,0.004674647934734821,0.23259711265563965,0.018877360969781876,-0.011032186448574066,0.22558440268039703,0.006143939681351185,0.04713716357946396,0.01538991741836071,-0.007559069432318211,-0.034155987203121185,-0.060040898621082306,-0.1697772592306137,-0.09145941585302353,-0.03252995014190674,0.002636729273945093,-0.10740651190280914,0.145754873752594,-0.21143516898155212,0.10833720862865448,0.07156606763601303,-0.024235917255282402,-0.06171904131770134,0.10225359350442886,-0.019835971295833588,-0.0889686718583107,0.11813145875930786,-0.14041222631931305,0.11042170226573944,0.19737455248832703,0.024969058111310005,0.1098429411649704,0.09980607032775879,0.0662117674946785,-0.05769301950931549,-0.04503171518445015,-0.07815942168235779,-0.007614903151988983,0.14434008300304413,-0.12618225812911987,0.04243730753660202,0.03522419556975365
7,Denzel Washington,-0.09447868168354034,0.1649082601070404,0.14231057465076447,0.06003464013338089,-0.03570699319243431,-0.020943887531757355,0.03816638141870499,-0.1448764055967331,0.25451162457466125,-0.048430755734443665,0.2595081925392151,-0.006171359680593014,-0.16674470901489258,-0.16957050561904907,-0.011265463195741177,0.1680230051279068,-0.09827008843421936,-0.11156617850065231,-0.14907343685626984,-0.017030512914061546,-0.028148850426077843,-0.04104900360107422,0.04650270193815231,0.042090144008398056,-0.048677653074264526,-0.37111690640449524,-0.07536960393190384,-0.18689300119876862,0.004256017506122589,-0.1915474534034729,-0.02463025227189064,-0.005507183261215687,-0.1790863573551178,-0.11060022562742233,-0.09272152930498123,0.028841346502304077,-0.034408219158649445,-0.018174557015299797,0.16404227912425995,-0.03138063848018646,-0.2123512327671051,-0.0036928984336555004,-0.035089634358882904,0.2458999902009964,0.28426122665405273,-0.03378156200051308,0.024999374523758888,-0.008738560602068901,0.08468697220087051,-0.2175562083721161,0.03673948347568512,0.056032124906778336,0.1788700371980667,0.02466420829296112,0.10026524215936661,-0.13284295797348022,-0.09176317602396011,0.11486516892910004,-0.17956098914146423,0.08959801495075226,0.10096416622400284,-0.09873057901859283,-0.10015325248241425,0.04526950791478157,0.24972276389598846,0.1582159698009491,-0.138064444065094,-0.0843314453959465,0.1831502765417099,-0.14394620060920715,0.07217095792293549,0.07382786273956299,-0.10229337215423584,-0.18649247288703918,-0.27392587065696716,0.10159610211849213,0.4305107295513153,0.06297887861728668,-0.2846061885356903,-0.12895259261131287,-0.1990140676498413,0.08232910186052322,-0.005732497200369835,0.028228983283042908,-0.048901982605457306,-0.027909981086850166,-0.149730384349823,-0.047015801072120667,0.11592162400484085,0.023377804085612297,-0.021616969257593155,0.22845318913459778,-0.060923367738723755,-0.0824243575334549,-0.019894694909453392,0.012423745356500149,-0.05354957655072212,-0.015966570004820824,-0.1267828643321991,-0.03520636633038521,0.01753615215420723,-0.10047895461320877,-0.03696073964238167,0.04890425130724907,-0.16794458031654358,0.11552367359399796,0.009831152856349945,0.03820642828941345,0.025062434375286102,-0.004315054044127464,-0.1194518655538559,-0.02604006789624691,0.24281390011310577,-0.23149296641349792,0.21802574396133423,0.13036847114562988,-0.03407925367355347,0.11746254563331604,0.009947417303919792,0.12352170050144196,-0.039314255118370056,-0.04990628734230995,-0.09618852287530899,-0.02840753085911274,0.029531124979257584,-0.060314424335956573,0.04500236734747887,0.01490290742367506
8,Denzel Washington,-0.16877101361751556,0.14688324928283691,0.04238539934158325,0.01796204037964344,-0.07514511793851852,0.00599473575130105,0.002974359318614006,-0.15912023186683655,0.15750068426132202,-0.060020629316568375,0.21858589351177216,-0.04791494831442833,-0.2858366072177887,-0.14642669260501862,0.0014604972675442696,0.09540525823831558,-0.10518299788236618,-0.1055469810962677,-0.15513265132904053,-0.14115434885025024,-0.02431543730199337,0.03901442885398865,0.043831873685121536,0.05185407027602196,-0.09315896034240723,-0.3868381679058075,-0.08399393409490585,-0.21342024207115173,0.010506161488592625,-0.17047663033008575,-0.10364988446235657,-0.023562543094158173,-0.1385892629623413,-0.08187495917081833,-0.0730995461344719,-0.0019333120435476303,0.03939304128289223,0.029049409553408623,0.14556291699409485,-0.035759251564741135,-0.15761251747608185,-0.055773500353097916,0.05088016390800476,0.24935190379619598,0.2639712989330292,0.03774501010775566,-0.04175141081213951,0.03460374101996422,0.03983018547296524,-0.21876296401023865,0.025446154177188873,0.11178576946258545,0.19510790705680847,-0.026067160069942474,0.08457329869270325,-0.09335639327764511,-0.12651047110557556,0.0488705039024353,-0.17480653524398804,0.024815985932946205,0.08354032039642334,-0.13365106284618378,-0.13780248165130615,-0.01787763461470604,0.2978420853614807,0.151397705078125,-0.13715562224388123,-0.033446066081523895,0.17857806384563446,-0.19796176254749298,0.005629615392535925,0.010371044278144836,-0.10044460743665695,-0.14916671812534332,-0.23756612837314606,0.07353153079748154,0.4090268909931183,0.1373540610074997,-0.21815238893032074,-0.03416207805275917,-0.21316666901111603,0.012975619174540043,0.017213275656104088,-0.022490551695227623,-0.08910240232944489,-0.017581649124622345,-0.10809754580259323,0.04436849057674408,0.12696005403995514,-0.013232922181487083,0.012967124581336975,0.19603121280670166,-0.03452549874782562,0.023142019286751747,0.02152612805366516,0.007399743888527155,-0.0856265127658844,-0.08326037228107452,-0.07952357828617096,0.018812144175171852,0.03059352934360504,-0.09196332097053528,0.02637370303273201,0.04467674717307091,-0.15950189530849457,0.11155493557453156,0.028757859021425247,-0.03492089360952377,0.012829842045903206,-0.02775174006819725,-0.05247972160577774,-0.03539179638028145,0.21392704546451569,-0.24579490721225739,0.16972526907920837,0.13610491156578064,-0.04113299027085304,0.15676194429397583,-0.019022315740585327,0.05855567008256912,-0.03897753730416298,-0.0399167500436306,-0.1511537730693817,-0.0935543030500412,0.0876922756433487,-0.12775012850761414,0.07606170326471329,0.021669723093509674
9,Denzel Washington,-0.12740546464920044,0.121942900121212,0.051519423723220825,0.051251303404569626,-0.028798576444387436,5.021132528781891e-05,0.003298044204711914,-0.1807546615600586,0.21437761187553406,-0.08631277084350586,0.25489020347595215,0.024583756923675537,-0.208810955286026,-0.21656225621700287,-0.06658829748630524,0.16531698405742645,-0.11349581182003021,-0.1601414531469345,-0.14251303672790527,-0.08517436683177948,-0.03931175172328949,-0.03611450269818306,0.07294262200593948,0.0694415420293808,-0.058741405606269836,-0.36180728673934937,-0.06333466619253159,-0.2270420491695404,-0.012441950850188732,-0.16806696355342865,-0.06896286457777023,0.03565140813589096,-0.17086230218410492,-0.08940695971250534,-0.040082160383462906,0.04931566119194031,-0.014246031641960144,0.04212180897593498,0.17540615797042847,-0.03071964532136917,-0.11322975158691406,0.0019199671223759651,-0.01205955445766449,0.29164859652519226,0.24872353672981262,0.015130851417779922,0.030235785990953445,-0.017593935132026672,0.10872281342744827,-0.23047642409801483,0.07902558892965317,0.08437741547822952,0.16449318826198578,0.04019947350025177,0.10649554431438446,-0.1679636389017105,-0.0630931705236435,0.08966332674026489,-0.15323930978775024,0.0879758819937706,0.0745585486292839,-0.06607667356729507,-0.12119791656732559,0.02003459632396698,0.29468920826911926,0.1728145182132721,-0.15235181152820587,-0.054349951446056366,0.1987350881099701,-0.16009972989559174,0.06280405819416046,0.03379759564995766,-0.13186681270599365,-0.16527943313121796,-0.2278781533241272,0.08332285284996033,0.4717051088809967,0.12281371653079987,-0.2588074505329132,-0.10224805772304535,-0.16137093305587769,0.05750762298703194,0.023337269201874733,0.003410537727177143,-0.10098624229431152,-0.015917649492621422,-0.12245479226112366,-0.022879552096128464,0.11182377487421036,0.07603292167186737,-0.05777100473642349,0.19401836395263672,-0.02702041156589985,-0.034787312150001526,0.058435022830963135,-0.012423560954630375,-0.040629759430885315,-0.06649478524923325,-0.15539540350437164,6.408989429473877e-05,-0.0892794281244278,-0.11642236262559891,-0.05052647367119789,-0.0004239249974489212,-0.0989149659872055,0.1270703822374344,0.00011497782543301582,0.0315193310379982,-0.06212089583277702,0.02499864622950554,-0.12336269021034241,-0.0005474422359839082,0.18898753821849823,-0.244726300239563,0.23686377704143524,0.12436214089393616,0.04670298472046852,0.16776838898658752,-0.009663385339081287,0.10812423378229141,-0.05363871529698372,-0.03965916112065315,-0.10241513699293137,-0.08218687772750854,0.05723477900028229,-0.08617151528596878,0.0859837755560875,0.013554682955145836
10,Denzel Washington,-0.12866243720054626,0.18115955591201782,0.07133804261684418,0.02304835245013237,-0.011756920255720615,0.0595320463180542,0.03247302025556564,-0.17431165277957916,0.19988222420215607,-0.033920783549547195,0.27996957302093506,-0.0033068545162677765,-0.2824144959449768,-0.18238142132759094,-0.0374876968562603,0.12725578248500824,-0.15779860317707062,-0.09894710034132004,-0.11378567665815353,-0.09904325008392334,-0.026410862803459167,0.007732821628451347,0.020144334062933922,0.03798821568489075,-0.06770776212215424,-0.3540530204772949,-0.06687389314174652,-0.2548729181289673,-0.014639714732766151,-0.13086502254009247,-0.07724540680646896,-0.009692355990409851,-0.13107694685459137,-0.08115343004465103,-0.08700718730688095,-0.07519576698541641,0.008544025011360645,0.0018629804253578186,0.1781553477048874,-0.0076100206933915615,-0.12342023849487305,-0.035381920635700226,0.005426118150353432,0.26487305760383606,0.27148348093032837,-0.026144543662667274,-0.02675768919289112,0.019027160480618477,0.04746124520897865,-0.2017706334590912,0.02453923039138317,0.11826551705598831,0.19297458231449127,0.02245691977441311,0.06878843903541565,-0.14529210329055786,-0.10100127756595612,0.03203364461660385,-0.20188279449939728,0.04676631838083267,0.07092553377151489,-0.1254250854253769,-0.12228573858737946,0.021952657029032707,0.2352781891822815,0.14146466553211212,-0.13311317563056946,-0.07556888461112976,0.17489653825759888,-0.14187085628509521,0.03356018662452698,0.03906752169132233,-0.1411636769771576,-0.197138249874115,-0.22297950088977814,0.12153131514787674,0.42117270827293396,0.1695893555879593,-0.2546447515487671,-0.07876940816640854,-0.21470853686332703,0.004409259185194969,0.05223173648118973,-0.002752276137471199,-0.048587456345558167,-0.046975068747997284,-0.1114475280046463,-0.011072488501667976,0.06284689903259277,0.02243935689330101,-0.05920746922492981,0.2412061095237732,-0.06092085689306259,-0.048473626375198364,0.02602434530854225,0.02110443264245987,-0.05063481628894806,-0.023432321846485138,-0.10346425324678421,-0.014808240346610546,0.009252116084098816,-0.10166898369789124,0.011610712856054306,0.040104590356349945,-0.14745447039604187,0.10141249001026154,0.034645598381757736,0.009803823195397854,-0.004304961301386356,-0.050694987177848816,-0.08074270933866501,0.008602350018918514,0.23780283331871033,-0.24499621987342834,0.1857401430606842,0.11179393529891968,-0.006531638093292713,0.1574297845363617,-0.0032720761373639107,0.06300082802772522,-0.05852897837758064,-0.08320682495832443,-0.14602042734622955,-0.07960101962089539,0.07164032012224197,-0.06962563097476959,0.09315714240074158,0.007160733453929424
