Case#,name,fe1,fe2,fe3,fe4,fe5,fe6,fe7,fe8,fe9,fe10,fe11,fe12,fe13,fe14,fe15,fe16,fe17,fe18,fe19,fe20,fe21,fe22,fe23,fe24,fe25,fe26,fe27,fe28,fe29,fe30,fe31,fe32,fe33,fe34,fe35,fe36,fe37,fe38,fe39,fe40,fe41,fe42,fe43,fe44,fe45,fe46,fe47,fe48,fe49,fe50,fe51,fe52,fe53,fe54,fe55,fe56,fe57,fe58,fe59,fe60,fe61,fe62,fe63,fe64,fe65,fe66,fe67,fe68,fe69,fe70,fe71,fe72,fe73,fe74,fe75,fe76,fe77,fe78,fe79,fe80,fe81,fe82,fe83,fe84,fe85,fe86,fe87,fe88,fe89,fe90,fe91,fe92,fe93,fe94,fe95,fe96,fe97,fe98,fe99,fe100,fe101,fe102,fe103,fe104,fe105,fe106,fe107,fe108,fe109,fe110,fe111,fe112,fe113,fe114,fe115,fe116,fe117,fe118,fe119,fe120,fe121,fe122,fe123,fe124,fe125,fe126,fe127,fe128
1,Ann Achadang,-0.17981813848018646,0.07463587820529938,0.11545085161924362,0.010688860900700092,-0.08804037421941757,-0.1069607362151146,0.05534251406788826,-0.09441956877708435,0.19533680379390717,-0.12390968948602676,0.251592218875885,0.017328819260001183,-0.13902941346168518,-0.05631250888109207,0.019826345145702362,0.13128329813480377,-0.17383719980716705,-0.149953693151474,-0.07939185202121735,-0.12591850757598877,0.012608414515852928,0.05352846533060074,-0.015688830986618996,0.055224597454071045,-0.06650688499212265,-0.2982937693595886,-0.13233819603919983,-0.10658913850784302,0.070677250623703,-0.03231346979737282,0.04112708196043968,0.09465950727462769,-0.2016887366771698,-0.03676355630159378,-0.03107048198580742,0.003650474362075329,0.010612093843519688,-0.014455849304795265,0.16098180413246155,-0.00047849956899881363,-0.17699290812015533,-0.14186987280845642,0.032742321491241455,0.29302793741226196,0.21393916010856628,-0.01981029100716114,-0.04356915131211281,-0.008678305894136429,0.0056015425361692905,-0.20398873090744019,-0.01792861334979534,0.13405440747737885,0.10806634277105331,0.04210588335990906,-0.03560010343790054,-0.16429205238819122,-0.05576267093420029,-0.022201359272003174,-0.18807312846183777,0.0032471397425979376,0.004235721658915281,-0.17532341182231903,-0.14292606711387634,-0.06400982290506363,0.2894199788570404,0.11600837856531143,-0.09966928511857986,-0.16213980317115784,0.2744048535823822,-0.1976691335439682,-0.010720774531364441,0.11732181161642075,-0.1692991852760315,-0.14918458461761475,-0.2751026153564453,0.010671336203813553,0.4372698962688446,0.05264991521835327,-0.14583061635494232,0.022290896624326706,-0.2065972536802292,0.008321858942508698,-0.027237070724368095,0.0786944031715393,-0.05056726932525635,0.04820910841226578,-0.11056331545114517,0.04673684760928154,0.17521421611309052,-0.06804151087999344,-0.0809212401509285,0.19781078398227692,0.0026645297184586525,-0.03625928983092308,0.047360509634017944,-0.010820897296071053,0.03640366345643997,-0.08547870814800262,-0.18573296070098877,-0.06801556795835495,-0.001296689733862877,-0.07603254914283752,-0.044576264917850494,0.10557740926742554,-0.15926490724086761,0.12864536046981812,0.08996814489364624,-0.03398919478058815,-0.03609180822968483,0.001159774255938828,-0.1415276825428009,-0.12363698333501816,0.20643910765647888,-0.18109726905822754,0.16159096360206604,0.16241377592086792,0.026104416698217392,0.20135599374771118,-0.011940868571400642,0.13594691455364227,-0.10314465314149857,-0.08622706681489944,-0.09666229784488678,-0.0052289096638560295,0.04785804823040962,-0.03618922829627991,0.032869674265384674,0.03873233124613762
2,Ann Achadang,-0.17611338198184967,0.028292488306760788,0.0434844009578228,0.004481310024857521,-0.049729373306035995,-0.12847089767456055,0.06666866689920425,-0.07100433856248856,0.20841547846794128,-0.1454625427722931,0.239737406373024,-0.024161264300346375,-0.1314033567905426,-0.07064546644687653,0.05200054123997688,0.1345730572938919,-0.1997629851102829,-0.19171594083309174,-0.0662892758846283,-0.11357775330543518,0.01646147295832634,0.025241997092962265,-0.0525682270526886,0.13416293263435364,-0.09738610684871674,-0.2569052577018738,-0.10558705031871796,-0.14462698996067047,0.06703661382198334,-0.04952264204621315,0.03906013444066048,0.10673859715461731,-0.22714897990226746,-0.041927531361579895,-0.003683991264551878,0.023419901728630066,0.025094274431467056,-0.05036196857690811,0.2041502296924591,-0.016185365617275238,-0.1914231926202774,-0.1273329108953476,0.02577795460820198,0.2749369740486145,0.15799155831336975,-0.025138916447758675,-0.05760067328810692,-0.008059055544435978,0.02513556182384491,-0.22238273918628693,-0.015542330220341682,0.15225009620189667,0.13736851513385773,0.05763809010386467,-0.05399164929986,-0.21189773082733154,-0.011441602371633053,0.00633270014077425,-0.21250668168067932,0.023279283195734024,0.017774470150470734,-0.16919435560703278,-0.09500721096992493,-0.03132219612598419,0.3025586009025574,0.13385561108589172,-0.10876381397247314,-0.16834481060504913,0.2839549481868744,-0.19060629606246948,-0.0035868422128260136,0.153935045003891,-0.12947501242160797,-0.18106406927108765,-0.22215725481510162,0.015929389744997025,0.38655799627304077,0.08166985213756561,-0.1622667908668518,0.02776297926902771,-0.2129266858100891,0.02620941773056984,0.0016865830402821302,0.08550260961055756,-0.02772250771522522,-0.006426576524972916,-0.11640393733978271,0.026444684714078903,0.18301638960838318,-0.011276394128799438,-0.06689997762441635,0.184795081615448,0.0036706458777189255,-0.05588916689157486,0.03414538502693176,-0.02263084053993225,0.026575058698654175,-0.04979471117258072,-0.12300139665603638,-0.016164707019925117,-0.003054729662835598,-0.04839230328798294,-0.0487966351211071,0.1244448870420456,-0.15144994854927063,0.11445756256580353,0.058646414428949356,-0.04501930624246597,-0.041313640773296356,0.04610869288444519,-0.11293573677539825,-0.106378473341465,0.14476507902145386,-0.23753315210342407,0.19933483004570007,0.1329626739025116,0.023224957287311554,0.20841777324676514,-0.0400729663670063,0.1481277346611023,-0.07577751576900482,-0.11743464320898056,-0.16699735820293427,-0.02418631874024868,0.06479166448116302,-0.025039058178663254,0.036004289984703064,0.02748570404946804
3,Ann Achadang,-0.20906037092208862,0.08412693440914154,0.05103861540555954,-0.028845900669693947,-0.08958570659160614,-0.11393783986568451,0.0455111488699913,-0.1370440423488617,0.19424444437026978,-0.08623853325843811,0.2716553807258606,-0.044783685356378555,-0.1705227494239807,-0.0836014598608017,-0.0012569059617817402,0.1322259157896042,-0.21896731853485107,-0.1411147266626358,-0.06518476456403732,-0.12007799744606018,0.01198967918753624,0.04430772736668587,-0.00739568704739213,0.08441020548343658,-0.10584697872400284,-0.3149600625038147,-0.1283062994480133,-0.1447414755821228,0.06239974871277809,-0.09003628045320511,0.06949728727340698,0.1430606245994568,-0.22013401985168457,-0.039729855954647064,-0.01642495021224022,0.057538483291864395,0.04080680385231972,-0.015666667371988297,0.1718941181898117,-0.011158590205013752,-0.20447805523872375,-0.15364821255207062,0.053201742470264435,0.31160664558410645,0.18379920721054077,-0.048608846962451935,-0.07205439358949661,0.01065952330827713,-0.021595118567347527,-0.15580767393112183,-0.012758897617459297,0.1424877792596817,0.09582459181547165,0.042950645089149475,-0.04272112250328064,-0.2067907750606537,-0.0609765499830246,-0.004322477616369724,-0.18328912556171417,-0.06424873322248459,0.008065680973231792,-0.1531520038843155,-0.13443207740783691,-0.06492672115564346,0.27742114663124084,0.12026701867580414,-0.10899398475885391,-0.14995597302913666,0.29829660058021545,-0.16526669263839722,-0.006918678991496563,0.10972586274147034,-0.17178282141685486,-0.13509203493595123,-0.2748472988605499,-0.030311962589621544,0.3945559561252594,0.017532803118228912,-0.17021581530570984,0.011808168143033981,-0.2255556285381317,-0.0261821486055851,-0.06098596379160881,0.08052658289670944,-0.022279253229498863,0.08759414404630661,-0.08953928202390671,0.05704110115766525,0.14263075590133667,-0.041002288460731506,-0.050266727805137634,0.20328828692436218,-0.00911088939756155,-0.05059463158249855,0.05132497102022171,-0.0141011793166399,0.015661919489502907,-0.07821528613567352,-0.17441968619823456,-0.06132218986749649,-0.007305326871573925,-0.086546391248703,-0.07260329276323318,0.14303340017795563,-0.2135733962059021,0.15760521590709686,0.15676945447921753,-0.04188917949795723,-0.052687209099531174,0.004268013872206211,-0.07537877559661865,-0.09598148614168167,0.2249871790409088,-0.23663026094436646,0.1859445422887802,0.17851386964321136,0.033547114580869675,0.21391525864601135,-0.03138840198516846,0.09996825456619263,-0.09270565956830978,-0.10767119377851486,-0.15364906191825867,-0.014084281399846077,0.031333815306425095,-0.06353370100259781,-0.008362923748791218,0.04985344409942627
4,Ann Achadang,-0.21826863288879395,0.10461075603961945,0.09538216888904572,0.009261496365070343,-0.059326693415641785,-0.09505584090948105,0.07858773320913315,-0.059980135411024094,0.15963800251483917,-0.051979538053274155,0.22472117841243744,0.003103705123066902,-0.17246539890766144,-0.10456176102161407,0.06691545993089676,0.1564275324344635,-0.19921596348285675,-0.19344112277030945,-0.05843460559844971,-0.14174100756645203,0.002243424067273736,0.03459184989333153,-0.04701631888747215,0.12381912022829056,-0.09758520871400833,-0.23353281617164612,-0.07843180000782013,-0.18039384484291077,0.035564739257097244,-0.06567247211933136,0.05990196764469147,0.06957593560218811,-0.22806815803050995,-0.021695414558053017,-0.03178175538778305,0.020215364173054695,0.04301057383418083,0.00012436695396900177,0.1513446718454361,-0.007410089951008558,-0.1780727505683899,-0.08219417929649353,0.014459770172834396,0.28769001364707947,0.20526531338691711,-0.013763027265667915,-0.047869954258203506,0.0027083270251750946,0.0019249143078923225,-0.20847782492637634,0.0013779271394014359,0.14417068660259247,0.08741173148155212,0.06306900084018707,-0.06444248557090759,-0.19943971931934357,-0.0488840751349926,-0.0017002075910568237,-0.19949884712696075,0.02086017280817032,0.026183784008026123,-0.17730927467346191,-0.10507151484489441,-0.03728486970067024,0.2970215380191803,0.1151023805141449,-0.11474000662565231,-0.14386864006519318,0.28854596614837646,-0.1803714483976364,-0.03618745505809784,0.1361178755760193,-0.12379385530948639,-0.12939146161079407,-0.24771851301193237,0.08951780200004578,0.39065563678741455,0.07357306778430939,-0.198613703250885,0.0015727942809462547,-0.22049781680107117,0.055952753871679306,-0.020821360871195793,0.09219224005937576,-0.03582826629281044,0.0025752922520041466,-0.12142981588840485,0.012292020954191685,0.15280243754386902,-0.0031307125464081764,-0.031003132462501526,0.2201862633228302,0.028803372755646706,-0.05307898670434952,0.04933116212487221,0.0045356848277151585,0.04602506384253502,-0.07364960759878159,-0.1421121060848236,-0.053247760981321335,-0.02484617754817009,-0.07116669416427612,-0.04218112677335739,0.11514873802661896,-0.1490813046693802,0.1174778938293457,0.08121607452630997,-0.03165993094444275,-0.0874447301030159,0.059204038232564926,-0.06518155336380005,-0.09422366321086884,0.16134048998355865,-0.2164776772260666,0.21663227677345276,0.1601950079202652,0.005451482255011797,0.18018946051597595,-0.03132954612374306,0.16740065813064575,-0.10552427172660828,-0.1295519769191742,-0.11624923348426819,-0.017273448407649994,0.08395462483167648,-0.028380030766129494,0.028519559651613235,0.06563292443752289
5,Ben Wycliff Mugalu,-0.20204511284828186,0.14466966688632965,0.04779186099767685,-0.015510582365095615,-0.0050415294244885445,-0.08437912911176682,0.0680234357714653,-0.10984016954898834,0.1653536558151245,-0.00655654352158308,0.2972080707550049,-0.009022931568324566,-0.24263453483581543,-0.0891033336520195,0.03452817350625992,0.06028349697589874,-0.1724615842103958,-0.10926738381385803,-0.10659952461719513,-0.13091635704040527,-0.006275348365306854,0.021619660779833794,0.019337965175509453,0.1174561083316803,-0.0591433160007,-0.2102501094341278,-0.055640656501054764,-0.1594819724559784,0.14725223183631897,-0.11810622364282608,0.07883808016777039,0.07671485096216202,-0.1604546159505844,-0.06350571662187576,-0.010144473984837532,0.0736052468419075,0.008967800997197628,-0.008185353130102158,0.23407386243343353,-0.015162513591349125,-0.11345422267913818,-0.09926706552505493,0.0015193447470664978,0.29256001114845276,0.09202197939157486,0.038607023656368256,0.004274843260645866,-0.004652801901102066,0.044485632330179214,-0.15413826704025269,0.026395486667752266,0.14705777168273926,0.19601571559906006,0.0760885551571846,-0.05310387164354324,-0.2840909957885742,-0.06195509433746338,0.04736904427409172,-0.18537868559360504,0.11257023364305496,0.050174735486507416,-0.14232823252677917,-0.11560839414596558,-0.05335557088255882,0.25469231605529785,0.10662070661783218,-0.15677425265312195,-0.14011996984481812,0.23075632750988007,-0.13399368524551392,-0.06097547709941864,0.18079768121242523,-0.1164751872420311,-0.11192592233419418,-0.17929241061210632,0.09604749083518982,0.3393910825252533,0.04017600417137146,-0.1498519778251648,-0.08154657483100891,-0.18563087284564972,-0.013574806973338127,-0.13261078298091888,0.05210277810692787,-0.16344378888607025,0.017675377428531647,-0.08744566142559052,-0.03463581204414368,0.13502568006515503,0.03746185451745987,-0.07448888570070267,0.1904737949371338,0.0008220113813877106,0.019855540245771408,-0.0031059328466653824,-0.007829638198018074,-0.02395312301814556,-0.04386426508426666,-0.07942713797092438,-0.044511836022138596,0.03736855462193489,-0.1812288463115692,-0.01460994966328144,0.06575654447078705,-0.19225195050239563,0.15192613005638123,0.05543220043182373,0.0028310678899288177,-0.006567962467670441,0.10715118795633316,-0.1147625595331192,-0.055498454719781876,0.2403530329465866,-0.2670900821685791,0.2757309079170227,0.21955053508281708,0.11810053884983063,0.14662303030490875,0.05621837079524994,0.1384521871805191,-0.001708855852484703,-0.02323514223098755,-0.09171421080827713,-0.10066021978855133,0.06574124097824097,-0.06204608827829361,0.02109147608280182,0.041691139340400696
6,Ben Wycliff Mugalu,-0.1728392094373703,0.09783852100372314,0.047134123742580414,-0.051140718162059784,-0.03906580060720444,-0.048613496124744415,0.06676770746707916,-0.09107217937707901,0.14575378596782684,-0.05263390764594078,0.29901987314224243,-0.018598556518554688,-0.22351619601249695,-0.08638836443424225,0.036825038492679596,0.09617199748754501,-0.21670474112033844,-0.10684849321842194,-0.12352471798658371,-0.18976598978042603,-0.0240593571215868,0.0620327889919281,-0.029276899993419647,0.1288280487060547,-0.08274079859256744,-0.20206543803215027,-0.10092860460281372,-0.18112970888614655,0.16610120236873627,-0.1200622096657753,0.07215020805597305,0.03978724405169487,-0.1518292874097824,-0.018072795122861862,-0.02815340831875801,-0.009468959644436836,0.04464862495660782,-0.034793805330991745,0.23545092344284058,0.009893335402011871,-0.09268617630004883,-0.04572589322924614,0.020582973957061768,0.2828345000743866,0.1166805550456047,-0.0015260378131642938,0.02134193852543831,0.030654089525341988,0.07189882546663284,-0.15488488972187042,0.03791295737028122,0.12707747519016266,0.24533838033676147,0.04221377521753311,-0.05749162286520004,-0.2378542274236679,-0.11538370698690414,0.04635045677423477,-0.16721157729625702,0.09815160930156708,0.046978797763586044,-0.14373870193958282,-0.16885414719581604,-0.05330667272210121,0.22397145628929138,0.10494853556156158,-0.1420007199048996,-0.20618325471878052,0.23908185958862305,-0.15857505798339844,-0.06365881115198135,0.16394637525081635,-0.13549302518367767,-0.054928943514823914,-0.1901310384273529,0.11100883781909943,0.35892194509506226,0.038747821003198624,-0.16032950580120087,-0.026228569447994232,-0.21394535899162292,0.004909534938633442,-0.1359584927558899,0.037615638226270676,-0.13603287935256958,0.0064668431878089905,-0.08313298225402832,0.018380068242549896,0.11694343388080597,-0.013639397919178009,-0.042175572365522385,0.1922479122877121,0.02471979893743992,0.0057317111641168594,-0.008672027848660946,-0.0310821570456028,-0.024631796404719353,-0.07479282468557358,-0.002515546977519989,-0.02454124391078949,0.05244559049606323,-0.11041515320539474,0.007135690655559301,0.055541615933179855,-0.19404830038547516,0.2003057599067688,0.027451911941170692,-0.02109186351299286,-0.007342290133237839,0.10747158527374268,-0.0919666439294815,-0.051171474158763885,0.2398080825805664,-0.26550188660621643,0.18231600522994995,0.18094447255134583,0.05524805933237076,0.14121082425117493,0.021815601736307144,0.15287597477436066,-0.045751430094242096,-0.011503638699650764,-0.12397059798240662,-0.10075531154870987,0.0694844052195549,-0.07608206570148468,0.01897134818136692,0.03739456087350845
7,Ben Wycliff Mugalu,-0.1903693825006485,0.07854007184505463,0.057579249143600464,-0.016954421997070312,-0.024569164961576462,-0.078902468085289,0.06909972429275513,-0.09360304474830627,0.1281309723854065,0.02833499386906624,0.2989785373210907,-0.02616794966161251,-0.24751347303390503,-0.07532548904418945,0.033958494663238525,0.0732467770576477,-0.1550436019897461,-0.12035450339317322,-0.08459288626909256,-0.1868109405040741,-0.03502484783530235,0.06588643044233322,-0.001325345365330577,0.11094949394464493,-0.09725360572338104,-0.185359388589859,-0.07059841603040695,-0.19285376369953156,0.1210753321647644,-0.07789010554552078,0.06052315980195999,0.07816293090581894,-0.16866163909435272,-0.06677601486444473,0.021463755518198013,0.04313894733786583,0.03255169466137886,-0.05296281352639198,0.24209155142307281,0.004341930150985718,-0.10014569759368896,-0.10540872067213058,0.01841435395181179,0.2738131582736969,0.07450369000434875,0.008116238750517368,0.04152725636959076,-0.008810940198600292,0.009700525552034378,-0.15796533226966858,0.07086052000522614,0.14131784439086914,0.20168420672416687,0.05812573432922363,-0.10031236708164215,-0.28375089168548584,-0.08373076468706131,0.03782113268971443,-0.17036060988903046,0.07162328064441681,0.06350286304950714,-0.10132567584514618,-0.1211189478635788,-0.06559677422046661,0.2622549533843994,0.12318436801433563,-0.13698461651802063,-0.16326196491718292,0.21977543830871582,-0.14013497531414032,-0.08089575171470642,0.17198289930820465,-0.14348413050174713,-0.10270168632268906,-0.1943802684545517,0.12306447327136993,0.3435360789299011,0.0318346805870533,-0.16206535696983337,-0.04814676567912102,-0.19792687892913818,0.0027554845437407494,-0.11256490647792816,0.060013070702552795,-0.12839385867118835,0.05541126802563667,-0.07132108509540558,-0.007221292704343796,0.15853123366832733,0.0012691505253314972,-0.0838978961110115,0.1694306582212448,0.015756756067276,0.02413337118923664,0.029079686850309372,-0.0010963415261358023,0.01357470452785492,-0.052637070417404175,-0.04514534771442413,-0.016198396682739258,0.040859028697013855,-0.09046384692192078,0.004780814051628113,0.08253345638513565,-0.1858045607805252,0.16147084534168243,0.03346884250640869,-0.04949793219566345,-0.040755461901426315,0.043606411665678024,-0.057589780539274216,-0.05166548490524292,0.24215298891067505,-0.2413836270570755,0.2084922343492508,0.1746189147233963,0.09503587335348129,0.1749231219291687,0.036201752722263336,0.12762989103794098,-0.02023433893918991,-0.0324409194290638,-0.13879062235355377,-0.0692257210612297,0.09039127826690674,-0.06615202873945236,0.039343059062957764,0.05576110631227493
8,Ben Wycliff Mugalu,-0.17461714148521423,0.07399298995733261,0.06742647290229797,0.02512414939701557,-0.029232850298285484,-0.06515675783157349,0.05560449883341789,-0.06688277423381805,0.11740073561668396,-0.02882629632949829,0.2938394248485565,-0.025552600622177124,-0.23166385293006897,-0.0925297811627388,0.04323470592498779,0.08404374122619629,-0.13857829570770264,-0.09759700298309326,-0.08358408510684967,-0.1914648711681366,-0.0008982275612652302,0.05410713329911232,-0.012866218574345112,0.07665956020355225,-0.09855608642101288,-0.19428524374961853,-0.060976311564445496,-0.13970188796520233,0.1174832358956337,-0.1350710391998291,0.05788031220436096,0.08105579018592834,-0.1674317717552185,-0.021856682375073433,-0.03769516199827194,0.01614890806376934,0.05610653758049011,-0.023489799350500107,0.1928742378950119,-0.0007625995203852654,-0.10380072891712189,-0.06850701570510864,0.0196433924138546,0.27842798829078674,0.125669926404953,0.005530885420739651,-0.009509921073913574,0.007224719971418381,0.028067560866475105,-0.1445629894733429,0.04515007138252258,0.14135296642780304,0.18417945504188538,0.050061438232660294,-0.06633118540048599,-0.1863742470741272,-0.10841869562864304,0.014232613146305084,-0.13727454841136932,0.04487351328134537,0.061235297471284866,-0.06682638078927994,-0.11357460916042328,-0.06906069815158844,0.23466354608535767,0.08188886940479279,-0.11780457198619843,-0.15402349829673767,0.2163321077823639,-0.13856618106365204,-0.0877167358994484,0.15293870866298676,-0.14239227771759033,-0.08054528385400772,-0.1987134963274002,0.12512364983558655,0.31446635723114014,0.027046840637922287,-0.1338738650083542,-0.015833768993616104,-0.20097263157367706,-0.008608004078269005,-0.10726957768201828,0.019127044826745987,-0.09718185663223267,0.008365372195839882,-0.06676167249679565,0.0355854332447052,0.1561490148305893,-0.005159385502338409,-0.061259642243385315,0.17715592682361603,0.022392308339476585,-0.025548774749040604,-0.0050941286608576775,-0.0020987465977668762,0.003571057692170143,-0.03949955850839615,-0.055419955402612686,-0.05369216948747635,0.06511963158845901,-0.09442253410816193,0.017219895496964455,0.09758257865905762,-0.1935260146856308,0.16897454857826233,0.04728240892291069,-0.00454319640994072,0.025928959250450134,0.09718455374240875,-0.09528587013483047,-0.05178278312087059,0.18827220797538757,-0.23856844007968903,0.1958175152540207,0.1464451253414154,0.09197428077459335,0.11187902837991714,0.02066873572766781,0.14782428741455078,-0.030609916895627975,-0.02807505428791046,-0.10828347504138947,-0.07964927703142166,0.07093589752912521,-0.04031418636441231,0.012485511600971222,0.0635988712310791
9,Ben Wycliff Mugalu,-0.1556210070848465,0.05151455104351044,0.03553532063961029,0.0056380401365458965,-0.03351516276597977,-0.0853780210018158,0.051756229251623154,-0.07541706413030624,0.11433311551809311,-0.035877738147974014,0.3094676434993744,-0.039063237607479095,-0.21622209250926971,-0.10942358523607254,0.025962404906749725,0.09088288992643356,-0.14875353872776031,-0.10483073443174362,-0.1077873483300209,-0.1600979119539261,-0.012988775968551636,0.04030333459377289,-0.002870523603633046,0.10995852202177048,-0.07351402938365936,-0.2254609614610672,-0.0798320546746254,-0.13329458236694336,0.09854575246572495,-0.11391876637935638,0.06579792499542236,0.07619369029998779,-0.16322122514247894,-0.03987884148955345,-0.016206873580813408,0.01912098191678524,0.054893966764211655,-0.009318622760474682,0.20104196667671204,-0.012108376249670982,-0.09937570989131927,-0.031487837433815,0.033323727548122406,0.29113882780075073,0.10565318167209625,0.04129643365740776,0.022028056904673576,0.0054528675973415375,0.03351564705371857,-0.15904223918914795,0.05514378845691681,0.12887737154960632,0.20811988413333893,0.04534526914358139,-0.053348369896411896,-0.19647327065467834,-0.10300693660974503,0.046583354473114014,-0.14440762996673584,0.06705470383167267,0.039451614022254944,-0.058049146085977554,-0.09495986998081207,-0.07383310794830322,0.26045867800712585,0.09033721685409546,-0.1344490796327591,-0.14277908205986023,0.23001214861869812,-0.14699190855026245,-0.07923738658428192,0.13265907764434814,-0.12873485684394836,-0.09677407145500183,-0.19983525574207306,0.12506845593452454,0.3466949164867401,0.0433245450258255,-0.15730665624141693,-0.020992781966924667,-0.2001696079969406,-0.0023610005155205727,-0.1312829703092575,0.009786314330995083,-0.11089953780174255,0.014797849580645561,-0.09204982221126556,0.016518471762537956,0.15906544029712677,-0.0024085305631160736,-0.04859035462141037,0.1856825202703476,0.038559284061193466,-0.026421211659908295,0.014048252254724503,-0.0043571097776293755,-0.008130880072712898,-0.03730789199471474,-0.05979236960411072,-0.022853778675198555,0.03932704031467438,-0.10848915576934814,0.01486293040215969,0.06167282909154892,-0.18908970057964325,0.18885716795921326,0.02547036111354828,-0.025854550302028656,-0.004253349266946316,0.134017676115036,-0.08202503621578217,-0.061095111072063446,0.18292570114135742,-0.25834420323371887,0.20077401399612427,0.15330862998962402,0.11110091954469681,0.15766777098178864,0.002000809647142887,0.16600415110588074,-0.034872956573963165,-0.023450858891010284,-0.08990392833948135,-0.10940328240394592,0.05778856575489044,-0.03718072548508644,0.03434090316295624,0.08158934116363525
10,Ben Wycliff Mugalu,-0.2131458818912506,0.08340157568454742,0.04387936741113663,0.008571181446313858,-0.02126867137849331,-0.037533052265644073,0.05631359666585922,-0.0921282023191452,0.1467796266078949,-0.02075476199388504,0.28851065039634705,-0.0058337366208434105,-0.19750288128852844,-0.0894031897187233,0.03422607481479645,0.09962281584739685,-0.20244789123535156,-0.11470156908035278,-0.11404553800821304,-0.2210020273923874,-0.03532307222485542,0.05146161466836929,-0.023196687921881676,0.09812863916158676,-0.09705280512571335,-0.20376679301261902,-0.07986230403184891,-0.19995233416557312,0.14370395243167877,-0.11451243609189987,0.037785932421684265,0.044853102415800095,-0.17285950481891632,-0.02403511106967926,-0.014767639338970184,-0.0007887035608291626,0.05910540744662285,-0.006004632450640202,0.21787358820438385,-0.009725426323711872,-0.08088234066963196,-0.027564801275730133,0.022208107635378838,0.28099125623703003,0.12277398258447647,0.01181192696094513,0.0010072588920593262,-0.011511240154504776,0.05083349347114563,-0.125239297747612,0.041913263499736786,0.16308775544166565,0.18779253959655762,0.033515896648168564,-0.06979002058506012,-0.21685028076171875,-0.13887956738471985,0.039469845592975616,-0.1508909910917282,0.0702386349439621,0.060369208455085754,-0.07930158823728561,-0.17405876517295837,-0.09120127558708191,0.2162226438522339,0.12405499070882797,-0.13989023864269257,-0.1849861443042755,0.21425405144691467,-0.15336813032627106,-0.050302259624004364,0.13452458381652832,-0.14660567045211792,-0.11005733162164688,-0.1899477243423462,0.12452052533626556,0.36159342527389526,0.04302602261304855,-0.16454079747200012,-0.015824446454644203,-0.20007261633872986,-0.001996731385588646,-0.08946074545383453,0.04262864217162132,-0.13223057985305786,0.024753600358963013,-0.045304834842681885,0.019714459776878357,0.12317058444023132,0.023456327617168427,-0.03674332797527313,0.16123630106449127,0.014045612886548042,-0.019805908203125,-0.0035464931279420853,-0.013427190482616425,-0.004841167479753494,-0.08066470175981522,-0.0576435923576355,-0.042983829975128174,0.00096086785197258,-0.08547855913639069,0.007803204003721476,0.054400842636823654,-0.17734597623348236,0.17043057084083557,0.04771680384874344,-0.02445722557604313,-0.030995182693004608,0.09527502208948135,-0.0686674416065216,-0.04828101396560669,0.2208821326494217,-0.25277188420295715,0.18185707926750183,0.17489232122898102,0.06025909259915352,0.1613374650478363,0.01901172287762165,0.16356824338436127,-0.06208374723792076,0.006268762052059174,-0.13617952167987823,-0.0707007646560669,0.07295166701078415,-0.06155933812260628,0.022928593680262566,0.03522762656211853
